type,number_obs,monitoring_date
In-scope SDGs,20567,2026-08-27
People count,0,2026-08-27
Disabilities,756,2026-08-27
Labour statistics,953,2026-08-27
Births and deaths,207,2026-08-27
Migration,0,2026-08-27
Visitors,198,2026-08-27
Remittances,214,2026-08-27
Employment by industry,269,2026-08-27
CPI,3566,2026-08-27
In-scope SDGs,20567,2026-09-14
People count,0,2026-09-14
Disabilities,810,2026-09-14
Labour statistics,953,2026-09-14
Births and deaths,207,2026-09-14
Migration,0,2026-09-14
Visitors,198,2026-09-14
Remittances,214,2026-09-14
Employment by industry,269,2026-09-14
CPI,3566,2026-09-14
In-scope SDGs,20567,2026-09-17
People count,0,2026-09-17
Disabilities,810,2026-09-17
Labour statistics,953,2026-09-17
Births and deaths,207,2026-09-17
Migration,0,2026-09-17
Visitors,198,2026-09-17
Remittances,214,2026-09-17
Employment by industry,269,2026-09-17
CPI,3566,2026-09-17
