indicator,n,label
disability,54,
SL_TLF_UEM_19ICLS,48,"Unemployment rate, by sex and age - 19th ICLS (%) [8.5.2]"
LFPARTRATE labour_stats,45,
SL_ISV_IFEM_19ICLS,45,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]"
UNEMPRATE labour_stats,37,
SL_DOM_TSPD,36,Proportion of time spent on unpaid domestic chores and care work [5.4.1]
SL_DOM_TSPDCW,36,Proportion of time spent on unpaid care work [5.4.1]
SL_DOM_TSPDDC,36,Proportion of time spent on unpaid domestic chores [5.4.1]
population from census,24,
employment,23,
IC_GEN_MGTL_19ICLS,18,Proportion of women in managerial positions - 19th ICLS (%) [5.5.2]
IC_GEN_MGTN_19ICLS,17,Proportion of women in senior and middle management positions - 19th ICLS (%) [5.5.2]
IDX cpi,13,
SE_ADT_EDUCTRN,12,Participation rate in formal and non-formal education and training [4.3.1]
SE_ADT_LITR,12,Youth/adult literacy rate [4.6.1]
SL_TLF_UEM,12,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]"
SL_TLF_NEET_19ICLS,9,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]"
SL_TLF_UEMDIS,9,"Unemployment rate, by sex and disability - 13th ICLS (%) [8.5.2]"
SL_TLF_UEMDIS_19ICLS,9,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]"
SE_AWP_CPRA,8,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]"
SG_DMK_PARLCC_LC,8,"Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]"
SI_POV_DAY1,8,Proportion of population below international poverty line [1.1.1]
IT_MOB_OWN,7,Proportion of individuals who own a mobile telephone [5.b.1]
SG_REG_BRTH,6,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1]
SG_DMK_PARLSP_LC,5,"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral [16.7.1]"
SD_MDP_MUHC,4,Proportion of population living in multidimensional poverty [1.2.2]
SE_ADT_AGP_LITR,4,Adjusted gender parity index for youth/adult literacy rate (ratio) [4.5.1]
SE_ADT_ALP_LITR,4,Adjusted location parity index for youth/adult literacy rate (ratio) [4.5.1]
SE_ADT_AWP_LITR,4,Adjusted wealth parity index for youth/adult literacy rate (ratio) [4.5.1]
SE_GPI_PART,4,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio) [4.5.1]
CDR vital_stats,3,
EG_ACS_ELEC,3,Proportion of population with access to electricity [7.1.1]
SD_MDP_ANDI,3,Average proportion of deprivations for people multidimensionally poor [1.2.2]
SE_AGP_CPRA,3,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]"
SE_ALP_CPLR,3,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]"
SE_PRE_PARTN,3,Participation rate in organized learning (one year before the official primary entry age) [4.2.2]
SE_TRA_GRDL,3,"Proportion of teachers with the minimum required qualifications, by education level and sex [4.c.1]"
SH_DTH_NCOM,3,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]"
SH_DYN_IMRT,3,Infant mortality rate [3.2.1]
SH_DYN_IMRTN,3,Infant deaths (number) [3.2.1]
SH_DYN_MORT,3,Under-five mortality rate [3.2.1]
SH_DYN_MORTN,3,Under-five deaths (number) [3.2.1]
SH_H2O_SAFE,3,Proportion of population using safely managed drinking water services [6.1.1]
SH_PRV_SMOK,3,Age-standardized prevalence of current tobacco use among persons aged 15 years and older [3.a.1]
SH_SAN_DEFECT,3,Proportion of population practicing open defecation [6.2.1]
SH_SAN_HNDWSH,3,Proportion of population with basic handwashing facilities on premises [6.2.1]
SH_SAN_SAFE,3,Proportion of population using safely managed sanitation services [6.2.1]
SH_STA_STNT,3,Proportion of children moderately or severely stunted [2.2.1]
SH_STA_STNTN,3,Children moderately or severely stunted (number) [2.2.1]
SI_AGR_LSFP,3,Average income of large-scale food producers [2.3.2]
SI_AGR_SSFP,3,Average income of small-scale food producers [2.3.2]
SI_COV_BENFTS,3,Proportion of population covered by at least one social protection benefit [1.3.1]
SI_COV_CHLD,3,Proportion of children/households receiving child/family cash benefit [1.3.1]
SI_COV_DISAB,3,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1]
SI_COV_PENSN,3,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
SI_COV_UEMP,3,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1]
SI_COV_VULN,3,Proportion of vulnerable population receiving social assistance cash benefit [1.3.1]
SI_COV_WKINJRY,3,Proportion of employed population covered in the event of work injury [1.3.1]
SL_EMP_EARN,3,Average hourly earnings [8.5.1]
SL_ISV_IFEM,3,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]"
SL_TLF_NEET,3,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%) [8.6.1]"
SN_STA_OVWGT,3,Proportion of children moderately or severely overweight [2.2.2]
SN_STA_OVWGTN,3,Children moderately or severely overweight (number) [2.2.2]
SP_ACS_BSRVH2O,3,Proportion of population using basic drinking water services [1.4.1]
SP_ACS_BSRVSAN,3,Proportion of population using basic sanitation services [1.4.1]
migration,3,
FB_BNK_ACCSS,2,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2]
SE_ADT_AMP_LITR,2,Adjusted immigration status parity index for youth/adult literacy rate [4.5.1]
SG_DMK_JDC,2,Proportions of positions in the judiciary compared to national distributions [16.7.1]
SG_DMK_JDC_CNS,2,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court [16.7.1]"
SG_DMK_JDC_HGR,2,"Proportions of positions in the judiciary compared to national distributions, Higher Courts [16.7.1]"
