series,not_national_statistic,label
DC_TOF_INFRAL,TRUE,"Total official flows for infrastructure, by recipient countries [9.a.1]"
DC_TOF_TRDCML,TRUE,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]"
DC_TOF_TRDDBML,TRUE,"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]"
DC_TRF_TOTL,TRUE,"Total assistance for development, by recipient countries [10.b.1]"
EG_IFF_RANDN,TRUE,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [7.a.1]"
SG_GEN_EQPWNN,TRUE,Countries with systems to track and make public allocations for gender equality and women's empowerment (0 = does not meet the requirement; 1 = approached the requirement; 2  =  Fully meets requirement) [5.c.1]
SG_INT_MBRDEV,TRUE,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]"
SG_INT_VRTDEV,TRUE,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]"
SG_LGL_GENEQEMP,TRUE,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 3: employment and economic benefits. [5.1.1]"
SG_LGL_GENEQLFP,TRUE,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life. [5.1.1]"
SG_LGL_GENEQMAR,TRUE,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family. [5.1.1]"
SG_LGL_GENEQVAW,TRUE,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 2: violence against women. [5.1.1]"
SG_REG_CENSUSN,TRUE,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
AG_LND_AGRBIO,,Proportion of agricultural land area that has achieved an acceptable or desirable level of use of agro-biodiversity supportive practices [2.4.1]
AG_LND_AGRWAG,,Proportion of agricultural land area that has achieved an acceptable or desirable level of wage rate in agriculture [2.4.1]
AG_LND_FERTMG,,Proportion of agricultural land area that has achieved an acceptable or desirable level of management of fertilizers [2.4.1]
AG_LND_FIES,,Proportion of agricultural land area that has achieved an acceptable or desirable level of food security [2.4.1]
AG_LND_FOVH,,Proportion of agricultural land area that has achieved an acceptable or desirable level of farm output value per hectare [2.4.1]
AG_LND_H2OAVAIL,,Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability [2.4.1]
AG_LND_LNDSTR,,Proportion of agricultural land area that has achieved an acceptable or desirable level of secure tenure rights to agricultural land [2.4.1]
AG_LND_NFI,,Proportion of agricultural land area that has achieved an acceptable or desirable level of net farm income [2.4.1]
AG_LND_PSTCDSMG,,Proportion of agricultural land area that has achieved an acceptable or desirable level of management of pesticides [2.4.1]
AG_LND_RMM,,Proportion of agricultural land area that has achieved an acceptable or desirable level of risk mitigation mechanisms [2.4.1]
AG_LND_SDGRD,,Proportion of agricultural land area that has achieved an acceptable or desirable level of soil degradation [2.4.1]
AG_LND_SUST,,Proportion of agricultural area under productive and sustainable agriculture [2.4.1]
AG_LND_SUST_PRXCSS,,"[PROXY] Progress toward productive and sustainable agriculture, current status score [2.4.1]"
AG_LND_SUST_PRXTS,,"[PROXY] Progress toward productive and sustainable agriculture, trend score [2.4.1]"
AG_PRD_AGVAS,,Agriculture value added share of GDP [2.a.1]
AG_PRD_ORTIND,,Agriculture orientation index for government expenditures [2.a.1]
AG_XPD_AGSGB,,Agriculture share of Government Expenditure [2.a.1]
EG_ACS_ELEC,,Proportion of population with access to electricity [7.1.1]
EG_EGY_RNEW,,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
EG_FEC_RNEW,,Renewable energy share in the total final energy consumption [7.2.1]
EN_WWT_GEN,,Total wastewater generated (million m3/year) [6.3.1]
EN_WWT_TREAT,,Total wastewater treated (million m3/year) [6.3.1]
EN_WWT_TREATR,,Proportion of wastewater treated [6.3.1]
EN_WWT_WWDS,,Proportion of safely treated domestic wastewater flows [6.3.1]
ER_GRF_ANIMKPT,,Number of local breeds kept in the country [2.5.1]
ER_GRF_ANIMKPT_TRB,,Number of transboundary breeds (including extinct ones) [2.5.1]
ER_GRF_ANIMRCNTN,,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
ER_GRF_ANIMRCNTN_TRB,,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
ER_GRF_PLNTSTOR,,Plant genetic resources accessions stored ex situ (number) [2.5.1]
FB_BNK_ACCSS,,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2]
GF_XPD_GBPC,,Primary government expenditures as a proportion of original approved budget [16.6.1]
IC_GEN_MGTL,,Proportion of women in managerial positions - 13th ICLS (%) [5.5.2]
IC_GEN_MGTL_19ICLS,,Proportion of women in managerial positions - 19th ICLS (%) [5.5.2]
IC_GEN_MGTN,,Proportion of women in senior and middle management positions - 13th ICLS (%) [5.5.2]
IC_GEN_MGTN_19ICLS,,Proportion of women in senior and middle management positions - 19th ICLS (%) [5.5.2]
IT_MOB_2GNTWK,,Proportion of population covered by at least a 2G mobile network [9.c.1]
IT_MOB_3GNTWK,,Proportion of population covered by at least a 3G mobile network [9.c.1]
IT_MOB_4GNTWK,,Proportion of population covered by at least a 4G mobile network [9.c.1]
IT_MOB_5GNTWK,,Proportion of population covered by at least a 5G mobile network [9.c.1]
IT_MOB_OWN,,Proportion of individuals who own a mobile telephone [5.b.1]
NY_GDP_PCAP,,Annual growth rate of real GDP per capita [8.1.1]
SD_MDP_ANDI,,Average proportion of deprivations for people multidimensionally poor [1.2.2]
SD_MDP_MUHC,,Proportion of population living in multidimensional poverty [1.2.2]
SE_ACC_HNDWSH,,"Proportion of schools with basic handwashing facilities, by education level [4.a.1]"
SE_ACS_CMPTR,,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]"
SE_ACS_ELECT,,"Proportion of schools with access to electricity, by education level [4.a.1]"
SE_ACS_H2O,,"Proportion of schools with access to basic drinking water, by education level [4.a.1]"
SE_ACS_INTNT,,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]"
SE_ACS_SANIT,,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]"
SE_ADT_AGP_LITR,,Adjusted gender parity index for youth/adult literacy rate (ratio) [4.5.1]
SE_ADT_ALP_LITR,,Adjusted location parity index for youth/adult literacy rate (ratio) [4.5.1]
SE_ADT_AMP_LITR,,Adjusted immigration status parity index for youth/adult literacy rate [4.5.1]
